Ano,Enunciado,Alternativa_A,Alternativa_B,Alternativa_C,Alternativa_D,Alternativa_E,Area_de_Conhecimento
2023,toxic cianet biologia molecul célula produç atp depend gradi prótom ger cade respiratór ness reaç conform esquem elétrom proveni oxid nadh nad carg posi percorr cade cheg citocr oxidas reduz carg 3 posi carg 2 posi oxigêni atu acep final dess elétrom form águ cianet espéci química alt tóxic grand afin carg 3 posi célul expost cianet lig síti carg 3 posi citocr oxidas imped convers carg 2 posi bloque cade respiratór descr esquem seil reaç acopl cade respiratór seguint sequ prim reaç substrat proveni nutri ger enquant carg posi ger segund reaç ger carg posi enquant transport 1 pass form oxid form reduz terc reaç transport 1 pass form reduz oxid enquant transport 2 pass oxid reduz quart reaç transport 2 pass form reduz oxid enquant transport 3 pass oxid reduz quint reaç transport 3 pass form reduz oxid enquant carg 3 posi citocr oxidas convert carg 2 posi sext reaç final acopl convers carg 2 posi carg 3 posi ocorr produç h2o part fim descr bloquei aument concentr celul,,águ,,dióx carbon,citocr oxidas,Ciências da Natureza
2023,cient conseg determin idad fóssil menos 40000 ano idad utiliz métod carbono14 carbon radio feit part relaç exist quant carbono14 rest fóssil quant carbono14 espéci semelh atual apes sofr deca radio quant carbono14 atmosf particul molécul pratic const dev incid rai cósm ating terr tod instant assim faz part cicl carbon animal veget mantêm quant pratic const carbono14 constituição enquant viv porém morr cess entr carbon organ númer vai diminu med carbono14 vai deca radioativ meiav carbono14 temp necess metad átom radio amostr deca const aproximad 5730 ano descobr idad fóssil pod ter 40000 ano relev determin,meiav carbono14,fóssil animal veget,fóssil 5730 ano,quant carbono14 pres fóssil,relaç quant carbono14 part fóssil fóssil tod,Ciências da Natureza
2023,concessionár respons trech 480 quilômetr rodov ness trech constru 10 praç pedági ond funcion receb pag cabin cobranç exist serviç automá veícul prov disposi pass cancel abr automatic evit fil diminu temp viag segund concessionár temp médi efetu pass cabin 3 minut veloc máx permit rodov 100 quilômetr hor veícul lev 80 quilômetr hor veícul grand port consid carr caminh viaj ambos veloc const igual máx permit soment caminh serviç automá cobranç compar caminh quant minut menos carr lev percorr tod rodov,30,42,72,288,360,Ciências da Natureza
2023,ancient soil chemist the amazon sol amazôn ric silicat apropri cult ser incapaz ret nutri contud descobert arqueológ têm demonstr antig habit amazôn domin técn prepar insum agrícol natur denomin terr pret insum constitu princip espéci biocarv bioch obt queim matér orgân tronc árvor pedaç oss esterc capaz mant sol fértil ano admites efeit biocarv fertil sol part relacion presenç grup orgân tip carboxilat superfíci carreg negativ lig simpl carg nega grup atra íom posi necess nutri tal qual proveni potássi cálci magnési além micronutri zinc ferr lig sol fertil predomin iônic conform ilustr figur carg posi represent cátiom metál acord escal pauling eletronegat element oxigêni igual 344 descr figur sol biocarv grup orgân tip carboxilat adicion carg posi form sol fertil grup orgân lig simpl carg nega interag carg posi fim descr quadr apresent val eletronegat dess cinc element metál descr quadr quadr apresent eletronegat cinc element metál potássi 082 cálci 100 magnési 131 zinc 165 ferr 183 fim descr cátion result inter mai carát iônic ânion carboxilat proveni element,potássi,cálci,magnési,zinc,ferr,Ciências da Natureza
2023,indústr alimentíc produç doc leit utilizas tach pared oca entr vap águ 120 grau cels saíd águ líqu equilíbri vap 100 grau cels pass part oca tach vap águ transformas líqu liber energia pared transf energia interi tach result evapor águ consequ concentr produt process concentr produt utiliz energia proveni,soment cal latent vapor,soment cal latent condens,cal sens cal latent vapor,cal sens cal latent condens,cal latent condens cal latent vapor,Ciências da Natureza
2023,gasolin mist hidrocarbonet cade satur cont 8 12 átom carbon além diss gasolin alt desempenh dev cont elev te hidrocarbonet cade ramific form resist compress entr ign apen vel aci centelh elétr motor quadr apresent compost pod utiliz combust descr quadr quadr compost numer 1 5 respec nomenclat compost 1 ndec compost 2 nhept compost 3 224trimetilpent compost 4 3etil4metilex1en compost 5 3etil2metilpentan1ol fim descr compost conferir mai desempenh combust,1,2,3,4,5,Ciências da Natureza
2023,cartilh limp urban acord constituição feder compet municípi gerenc serviç limp colet resídu urban lix entant relat part dess lix acab send inciner liber subst tóxic ambi caus acid explos princip ocorr inciner frasc aerossol exempl desodor insetic repel temperat elev provoc vapor tod conteúd dentr dess tip frasc aument press interi culmin explos embal suponh frasc metál aerossol capac igual 100 mililitr cont 01 mol produt gas temperat 650 grau cels moment explos consid igual 0082 fraç numer litr vez atmosf denomin mol vez kelvin press atmosf dentr frasc moment explos próx,756,533,76,53,13,Ciências da Natureza
2023,circuit trê lâmp incandesc idênt represent figur cons associ mist resis cad lâmp associ paralel resis resist form conjunt conjunt associ séri tend tod lâmp brilh lig font energia após vári dia uso apen lâmp queim enquant demal permanec aces descr figur font energia lig trê conjunt dispost séri sent hor seguint sequ conjunt paralel conjunt paralel conjunt paralel fim descr relaç situ tod lâmp funcion após queim brilh lâmp,mesm,intens,menos intens,menos intens,intens menos intens,Ciências da Natureza
2023,equip seguranç transport empr aval comport tens aparec dua cord horizont 1 2 us prend carg mass igual 200 quilogram carroc conform ilustr caminh part repous aceler const igual 3 metr segund quadr fre brusc fren const igual 5 metr segund quadr ambas situ carg encontras imin mov sent mov caminh indic figur coefici atrit está caix assoalh carroc igual 02 consid aceler grav igual 10 metr segund quadr tens inic cord igual zer dua cord ideal descr figur caminh veloc horizont direit represent vetor superfíci centr carroc encontras apoi caix caix pres part tras carroc cord horizont 1 part diant cord horizont 2 fim descr situ aceler fren caminh tens cord 1 2 newton,aceler igual 0 igual 200 fren igual 600 igual 0,aceler igual 0 igual 200 fren igual 1400 igual 0,aceler igual 0 igual 600 fren igual 600 igual 0,aceler igual 560 igual 0 fren igual 0 igual 960,aceler igual 640 igual 0 fren igual 0 igual 1040,Ciências da Natureza
2023,biorremedi design trat us organ reduz quant subst tóxic ambi degradál subst tóxic men toxic plant aquá aguapé sid utiliz biorremedi ambi contamin metal tóxic sabes polu capt dentr corp veget dentr corp veget contamin,diger enz,acumul tec,elimin estômat,metabol glândul,utiliz font energé,Ciências da Natureza
2023,cicl nitrogêni compost vár etap conform figur send cad desempenh grup específ microrgan descr figur gás nitrogêni convert amôn microrgan grup 1 detrit convert amôn microrgan grup 2 amôn convert nitrit microrgan grup 3 nitrit convert nitrat microrgan grup 4 nitrat convert gás nitrogêni microrgan grup 5 fim descr grup microrgan decomposi extermin etap ocorr,1,2,3,4,5,Ciências da Natureza
2023,tripul aeronav radi ioniz rai cósm font radi ioniz potenc perig organ human quantific dos radi receb utilizas sievert defin unidad energia receb unidad mass expos radi proveni rai cósm aument altitud pod represent problem tripul aeronav recent realiz med acur dos radi ioniz voo rio jan rom result têm indic dos méd radi receb fas cruz geral represent 80 cent temp total voo dess trech intercontinent 2 microsievert hor norm internac avi civil limit 1000 hor ano temp trabalh tripul atu voo intercontinent consid dos radi ioniz radiograf torác estim 02 milisievert quant radiograf torác correspond dos radi ioniz tripul atu trech rio janeirorom expost long ano,8,10,80,100,1000,Ciências da Natureza
2023,estimas 1 cent 5 cent energia sol ating atmosf terrestr assimil veget mei fotossíntese veget sintetiz compost alt te energé glicos c6h12o6 atp adenosin trifosfat part dióx carbon águ h2o têm baix te energé simplificad equaç balance reaç fotossíntese pod descrit descr equaç equaç química balance reag h2o presenç energia radi form produt c6h12o6 fim descr vez fotossíntese interf compos atmosfér entend essenc compreend cicl gas atmosf afet clim glob planet process ilustr,fundament reduç biomass veget,ocorr veget outr organ tal fung cianobactér,produz us célul animal,contribu retir atmosfér ameniz efeit lanç gas estuf,mostr maior energia sol incid sobr terr utiliz ser viv produç açúc,Ciências da Natureza
2023,tir maurici sous person cebol casc faz brinc utiliz dua lat barb perceb som pod transmit através barb resolv alter compr barb fic cad vez extens demal cond permanec inalter dur brinc descr tir cebol casc brinc cert dist outr dua lat conect barb estic cebol segur lat conserv casc lat lix utiliz disposi ouv voz outr fim descr prát med aument compr barb ocorr reduç caracterís ond son,altur,períod,amplitud,veloc,compr ond,Ciências da Natureza
2023,inform digit dad grav disc óptic dvd form cavidad microscóp grav leit óptic dess inform realiz las font luz monocromá quant men dimens dess cavidad dad armazen mesm áre disc fat limit leit dad espalh luz efeit difr fenômen ocorr luz atravess obstácul dimens ord compr ond limit motiv desenvolv las emiss men compr ond possibilit armazen ler dad cavidad cad vez men reg espectr situ compr ond las otimiz armazen leit dad disc mesm áre,violet,azul,verd,vermelh,infravermelh,Ciências da Natureza
2023,bluetooth tecnolog comunic fio curt alcanc pres difer disposi eletrôn consum permit aparelh eletrôn difer conect troqu dad padr bluetooth denomin cl 2 anten transmit sinal pot igual 24 miliwatt possibilit conect doi disposi distanci 10 metr consid anten comport font puntiform emit ond eletromagné esfér intens sinal calcul pot unidad áre consid 3 val aproxim sinal bluetooth detect anten val mín intens watt metr quadr próx,doi vez 10 elev menos 6,doi vez 10 elev menos 5,doi vírgul quatr vez 10 elev menos 5,doi vírgul quatr vez 10 elev menos 3,doi vírgul quatr vez 10 elev menos 1,Ciências da Natureza
2023,tecnolog vacin mensag investig ano avanç científ genética molecul permit desenvolv vacin control pandem covid19 caus víru sarscov2 vacin sequ gen víru entretant inst dev recobert cap lipídi evit degrad favorec açã dess form desempenh função específ atu compart celul sempr imuniz produz tip vacin alcanç mei,estimul leucócit induz cap lipíd cont,atu sequestr víru mei extracelul,traduç proteín viral desencade respost antigên,compet vac viral síti riboss,incorpor viral genom hosped ger nov fenótip,Ciências da Natureza
2023,fertil vitr espermatozoid adicion gamet feminin retir mulh após períod incub fecund favorec açã enz proced realiz observous nenhum gamet feminin fertil posteri verificous hav sid adicion equivocad coquetel inib enz across lug nutri constituint mei cultura coquetel inib imped,form pronúcle masculin,iníci divis mitó zigot,términ segund divis meió ovócit,pass espermatozoid cor radiat zon pelúc,fusã membr plasmá ovócit espermatozoid,Ciências da Natureza
2023,fogã induç func part surg corr elétr induz fund panel consequ transform energia elétr cal efeit joul princip vantag dess fogã efici energé substanc mai fogã convenc corr elétr mencion induz,radi,conduç,camp elétr vari,camp magné vari,resson eletromagné,Ciências da Natureza
2023,academ decid troc grad aparelh muscul agor frequent utiliz aparelh tip 1 pod utiliz aparelh tip 2 represent figur elev carg correspond mass aparelh tip 1 aparelh tip 2 veloc const fim exercíci realiz mesm força vetor usu dev orient respeit relaç carg doi tip aparelh pol fix apen mud direç forç enquant pol móvel divid forç ambos aparelh consid cord inextens mass pol cord desprez dissip energia descr figuras dua figuras ilustr aparelh tip 1 tip 2 aparelh tip 1 corp mass suspens extrem cab aço vertic pass pol fix tet aparelh cab seg horizont outr pol fix later extern aparelh part dal cab desc vertic pass pol fix bas aparelh sob vertic pux força cim aparelh tip 2 cab aço pres tet aparelh desc contorn pol móvel pres corp mass cab seg vertic cim pass pol fix tet aparelh cab seg horizont outr pol fix later extern aparelh part dal cab desc vertic pass pol fix bas aparelh sob vertic pux força cim fim descr academ dev ra divid inform usu,quart,mei,1,2,4,Ciências da Natureza
2023,efficacy selectiv serotoninreuptak inhibi premenstr syndrom muit mulh sofr desconfort dia anteced menstru cham tens prémenstr outr sintom pod ocorr alter hum atual acreditas sintom result qued concentr neurotransmis serotonin vez relacion diminu produç hormôni ovari estrógen progest observ ness fas cicl feminin reduç produç dess hormôni ness fas relacion,regress corp lúte ovari,diminu produç ocitocin,liber gamet feminin ovul,aument nível hormôni fsh,elev nível sorológ adrenalin,Ciências da Natureza
2023,cet faz part famíl olfa encontr muit aliment molécul hexan3 exempl dess compost volátel respons arom pod obt process energé realiz mei ácid presenç oxid permanganat potássi produz compost volátil laboratóri deves oxid molécul,hexan,hexan1ol,hexan3ol,hex1en1ol,ácid hexano,Ciências da Natureza
2023,dur evolução plant ocorr trans ambi aquá ambi terrestr graç surg algum estrut torn independ águ fat permit mai dispers dess grup ser viv send possível observál difer ambi atual estrut possibilit independ águ fecund ser viv cit acim,frut,espor,sement,tub polín,vas condu,Ciências da Natureza
2023,atual recomend sociedad portugu neonatolog vidr cont alumíni compos excel mater acondic medic suplement porqu pod esteril aquec entant medic suplement contém subst lig fort íon dess metal dissoluç alumíni promov função desloc equilíbri quím estabelec espéci imobil vidr espéci soluç ra recomendas suplement nutr recémnasc cont gluconat cálci acondicion embal plás ness tip vidr cas suplement acondicion embal dess tip vidr risc contamin alumíni mai,vidr frasc translúc,concentr gluconat cálci alt,frasc vidr apresent mai espess,vidr prev esteril alt temperat,reaç alumíni gluconat cálci endotérm,Ciências da Natureza
2023,barbatim nom popul árvor cuj casc utiliz fim medic casc constitu princip doi tec veget periderm floem extr casc lev mort muit indivídu dess espéci cort ret anel complet long circunfer tronc têm part casc retir complet circunfer pod sobreviv mort dess indivídu decorr retir anel complet casc provoc interrupç,fotossíntese,transpir,troc gas,form brot,nutr raíz,Ciências da Natureza
2023,garot compr vári abacat feir descobr madur sufici ser consum mãe recomend coloc abacat recipi fech poi aceler amadurec cert dúv garot realiz experi coloc algum abacat recipi deix demal frut abert surpreendendos perceb frut recipi fech amadurec rapid aceler dess process caus,acúmul gás etilen,reduç umidad,aument concentr,diminu intens lumin,isol contat atmosfér,Ciências da Natureza
2023,temp conhec espéci lesmasdom capac ímp guard part maquin célul alg consom cloroplast mantêl func dentr própr célul obt assim part aliment investig portugues descobr lesmasdom pod efici ness process própr alg consom adapt conf organ capac obt prim,ácid nucle,carboidrat,proteín,vitamin,lipídi,Ciências da Natureza
2023,leishmanios viscer zoonos caus protozo gêner leishman encontr divers tec transmit hom form indiret vet ambi domést cão consider import hosped dess protozo pod apresent sintom doenç perd pes anem fer pel diarre conjuntivit insufici renal reg sofr alt incid dess doenç campanh centr zoonos busc verific presenç dess protozo cão tent control doenç mater biológ cão presenç dess protozo represent risc transmiss dess zoonos,urin,saliv,fezes,sang,secreç ocul,Ciências da Natureza
2023,profes lanç esf vertic cim retorn algum segund pont lanç segu list quadr tod possibil grand cinemá descr quadr quadr apresent grand cinemá esf veloc aceler módul difer zer sent cim baix módul igual zer sent indefin módul difer zer sent cim baix módul igual zer sent indefin fim descr solicit alun analis grand cinemá instant esf ating altur máx escolh combin módul sent veloc aceler escolh correspond combin corret,igual zer difer zer cim,difer zer cim igual zer,igual zer difer zer baix,difer zer cim difer zer cim,difer zer baix difer zer baix,Ciências da Natureza
2023,númer abelh encontras declíni vár reg mund inclusiv brasil send vári fat contribu colaps colme est unid bomb sement espéci veget nativ têm sid utiliz combat desaparec dess inset pequen bol reche sement adub argil arremess fic expost sol chuv germin sol pouc fértil métod contribu preserv abelh porqu,reduz pred,reduz uso pestic,reduz compet abrig,aument ofert aliment,aument local reproduç,Ciências da Natureza
2023,antig cozinh feij panel ferr fim acab palid filh algum cheg coloc preg enferruj ness coz liber ferr cont nel sabes element pod encontr form metál iônic send essenc manutenç vid human estratég cit utiliz obje,trat diarre,preven anem,evit verminos,remedi raquit,combat febr amarel,Ciências da Natureza
2023,utiliz tecnolog nucle tem bast controvers caus risc acid grav ocorr chernobyl 1986 goiân 1987 fukush 2011 apes muit desvant ger resídu tóxic descontamin ambient dispendi cas acid utiliz arm nucle ger energia nucle apresent vantag compar outr font energia ger dess energia caracterís,form resídu facil recicl,promov aument desmat,contribu produç chuv ácid,emit gas tóxic lanç ambi,produz cal consum combust fóssel,Ciências da Natureza
2023,indústr control dur águ import utiliz cald vez sal pouc solúvel form part sulfat carbonat pod acumulars interi tubul caus obstruç avali águ utiliz ness indústr realiz test qual consider parâmetr apresent quadr descr quadr quadr indic parâmetr med test 1 5 test 1 cálci test 2 cloret test 3 turbid test 4 coliform total test 5 sól sediment fim descr test dev consider control form dess tip obstruç tubul,1,2,3,4,5,Ciências da Natureza
2023,ave apresent doi tip múscul corp vermelh branc ave migratór garç gans pat selv têm múscul vermelh bem desenvolv ampl red vas sanguíne viag grand dist tal múscul fundament poi favorec,execuç manobr,metabol corpóre elev,manutenç aerodinâm,desloc grand veloc,capac voo grand altitud,Ciências da Natureza
2023,exist comérci produt antimof constitu embal tamp perfur cont cloret cálci anidr vez abert lacr subst absorv umidad ambi transformandos cloret cálci dihidrat fórmul pont 2h2 consid mass mol águ igual 18 gram mol mass mol cloret cálci anidr igual 111 gram mol hidrat subst pres antimof ganh percent mass próx 14 cent 16 cent,24 cent,32 cent,75 cent,possível imag,prov ciênc natur tecnolog,Ciências da Natureza
2023,pesso compr ingress cinem cuj entr afix map represent bidimens posicion poltr conform figur pesso após consult map começ sub esc par pos indic estrel direcion nort confer bilhet observ encontr poltr dev part pont ond continu sub esc direç nort quatr fil olh direit poltr terc descr map map sal cinem map ros vent indic oest esquerd nort cim lest direit sul baix frent poltr local tel poltr posicion colun numer 1 12 fil nome colun poltr posicion esquerd direit seguint man 1 2 3 esc 4 5 6 7 8 9 esc 10 11 12 fil nome baix cim seguint man entr local esquerd tel estrel local esc encontr colun 3 4 altur fil fim descr ness cinem poltr identific letr indic fil númer fornec pos poltr fil respectiv poltr dess pesso identific,,,,,,Matemática
2023,metrô municípi oferec doi tip tíquet color difer azul vermelh send vend cartel cad nov tíquet mesm cor val unit dua cartel tíquet azuil cartel tíquet vermelh vend 3240 real sabes preç tíquet azul menos preç tíquet vermelh igual preç tíquet vermelh cinc centav preç real cartel tíquet vermelh,468,630,930,1050,1065,Matemática
2023,gráf expõ algum númer grip ah1n1 categor process imuniz complet imuniz trabalh saúd descr gráf gráf barr assoc categor process imuniz porcent pesso imuniz categor trabalh saúd 100 cent crianç 6 mes 2 ano 80 90 cent indígen 60 70 cent doent crôn 55 60 cent gest 50 55 cent adult 20 29 ano 40 50 cent fim descr acord gráf demal categor expost víru grip ah1n1 categor,indígen,gest,doent crôn,adult 20 29 ano,crianç 6 mes 2 ano,Matemática
2023,figur represent esc trê degrau constru concret maciç med especific descr figur figur esc trê degrau local frent port cad degrau pis espelh form retângul later retangul pis cad degrau med 10 metr 025 metr espelh cad degrau med 10 metr 020 metr cad pared later esc form trê retângul justapost prim med 025 metr 020 metr segund med 025 metr 040 metr terc med 025 metr 060 metr fim descr ness esc pis espelh têm format retangul pared later têm format polígon cuj lad adjac perpendicul pis espelh pared later revest cerâm áre revest cerâm metr quadr med,120,135,165,180,195,Matemática
2023,supermerc cont cinc caix dispon pag instal tel apresent temp médi gast cad caix inici final atend cad client númer pesso pres fil cad caix temp real client hor pass compr sab cad cinc caix inici nov atend naquel moment pretend gast men temp possível esper fil observ tel apresent inform segu caix 1 atend 12 minut 5 pesso fil caix 2 atend 6 minut 9 pesso fil caix 3 atend 5 minut 6 pesso fil caix 4 atend 15 minut 2 pesso fil caix 5 atend 9 minut 3 pesso fil alcanç obje client dev escolh caix,1,2,3,4,5,Matemática
2023,figuras pint quadr sal resid represent silhuet part torr castel fund lua chei lua pint form círcul telh torr alt form triângulo equiláter pint sobrep part lua centr lua coincid vért telh torr alt descr quadr quadr trê figuras represent silhuet part trê torr castel frent lua chei torr têm form retângul triângulo equiláter top triângulo represent telh torr alt sobrepost círcul vért coincid centr círcul lad opost vért segment ret extern círcul fim descr ness quadr part lua escond atrás torr alt castel pod represent,con,set circul,segment circul,triângulo isóscel,arc circunfer,Matemática
2023,plant baix club piscin represent quadr cuj áre real med 400 metr quadr redor dess piscin constru calç larg const igual 5 metr descr figur figur quadr represent piscin emoldur faix larg const igual 5 metr represent calç fim descr med áre metr quadr ocup calç,1000,900,600,500,400,Matemática
2023,pesso caminh 30 minut utiliz aplic instal celul monitor vari intens sinal internet receb aparelh dur desloc cheg destin aplic fornec gráf descr gráf gráf cartesi sobr malh quadricul eix horizont represent temp minut gradu 0 30 2 2 unidad eix vertic represent intens sinal internet segment ret form gráf segment 1 une pont 0 5 2 5 segment 2 une pont 2 5 6 2 segment 3 une pont 6 2 8 2 segment 4 une pont 8 2 10 0 segment 5 une pont 10 0 12 0 segment 6 une pont 12 0 14 4 segment 7 une pont 14 4 16 0 segment 8 une pont 16 0 20 0 segment 9 une pont 20 0 22 3 segment 10 une pont 22 3 24 3 segment 11 une pont 24 3 26 2 segment 12 une pont 26 2 28 5 segment 13 une pont 28 5 30 5 fim descr quant minut dur caminh celul dess pesso fic receb sinal internet,6,8,10,14,24,Matemática
2023,loj vend produt dua form vist financi trê parcel mens igual defin val dess parcel vend financi loj aument 20 cent val produt vist divid nov val 3 prim parcel dev pag ato compr dua últ 30 60 dia após compr client loj decid compr form financi produt cuj val vist 1500 real utiliz 529 aproxim raiz quadr 28 tax mens jur compost pratic ness financ,67 cent,10 cent,20 cent,215 cent,233 cent,Matemática
2023,concret laj resid pesso contrat constru tal empr inform preç concret bombe compost dua part fix cham tax bombe vari depend volum concret utiliz sabes tax bombe cust 500 real metr cúbic concret bombe 250 real express represent preç função volum metr cúbic,igual 250 vez,igual 500 vez,igual 750 vez,igual 250 vez 500,igual 500 vez 250,Matemática
2023,luc precis estac carr períod 40 minut irmã cl precis estac carr períod 6 hor estacion verd cobr 5 real hor perman estacion amarel cobr 6 real 4 hor perman 250 real hor fraç hor ultrapass estacion pret cobr 7 real 3 hor perman 1 real hor fraç hor ultrapass estacion econôm luc cl respectiv,verd pret,verd amarel,amarel amarel,pret pret,verd verd,Matemática
2023,estud trabalh robó cri torn intelig automatiz abert fech dur limp mão tecnolog func seguint form coloc mão sob torn lib águ dur 3 segund pesso poss molhál segu interromp fornec águ 5 segund enquant pesso ensabo mão finaliz cicl liber águ enxág 3 segund consid temp segund cont part instant inic cicl va águ ness torn const esboç gráf descrev volum águ acumul litr liber torn dur cicl lav mão função temp segund descr altern cad altern represent gráf cartesi malh quadricul eix horizont represent temp segund 0 12 segund eix vertic represent volum águ litr,gráf form trê segment ret prim lig pont 0 0 3 2 segund lig pont 3 0 8 0 terc lig pont 8 2 11 4,gráf form trê segment ret prim lig pont 0 0 3 2 segund lig pont 3 2 8 2 terc lig pont 8 2 11 4,gráf form trê segment ret prim lig pont 0 2 3 2 segund lig pont 3 0 8 0 terc lig pont 8 2 11 2,gráf form segment ret lig pont 0 0 11 4,gráf form trê segment ret prim lig pont 0 0 3 2 segund lig pont 3 0 8 0 terc lig pont 8 0 11 4 fim descr,Matemática
2023,caracterís cult var pov pov notíc pov possuí form cont difer indic quadr segu descr quadr quadr seil person cad person mostr ded númer diz nom dess númer abaix cad aráb númer dit númer aparec figur respec nom fal person 1 urapum 2 okos 3 okos urapum 4 okos okos 5 const nom númer 6 okos okos okos fim descr segund padr cont indic figur represent numer cinc set ness cultura dev respectiv,okos urapum urapum urapum okos okos urapum urapum urapum,okos okos urapum okos okos okos okos urapum,okos okos urapum okos okos okos urapum,okos urapum urapum okos urapum okos urapum urapum,okos okos urapum okos okos okos okos,Matemática
2023,tip sement necessit bast águ doi prim mes após planti produt pretend estabelec melhor moment planti dess tip sement mes outubr març após consult previs índic mens precipit chuv reg ond ocorr planti períod chuv 20202021 obtev seguint dad outubro2020 impc igual 250 milímetr novembro2020 impc igual 150 milímetr dezembro2020 impc igual 200 milímetr janeiro2021 impc igual 450 milímetr fevereiro2021 impc igual 100 milímetr março2021 impc igual 200 milímetr bas ness previs precis escolh doi mes consecu méd mens precipit mai possível iníci dess mes produt dev plant tip sement,outubr,novembr,dezembr,jan,fever,Matemática
2023,artist plás esculp escult part bloc mad lei etap inic esculp con ret 36 centímetr altur diâmetr bas med 18 centímetr segu remov dess con con men cuj diâmetr bas med 6 centímetr obt assim tronc con conform ilustr figur descr imag imag form dua figuras figur esquerd apresent con circul ret diâmetr bas igual 18 centímetr altur igual 36 centímetr nel destac con circul ret vért eix simetr altur men cuj diâmetr bas igual 6 centímetr figur direit mostr tronc con obt retir con altur men con altur mai remov cilindr circul ret diâmetr igual 6 centímetr eix simetr con orig fim descr segu perf tronc con remov cilindr ret diâmetr 6 centímetr cuj eix simetr con orig dess form final escult form tronc con perfur cilíndr bas bas tip mad utiliz produz escult mass igual 06 gram centímetr cúbic volum utiliz 3 aproxim mass gram dess escult,11988,12960,13608,46656,48600,Matemática
2023,100 funcion empr distribu doi set produç administr funcion set receb salári val igual quadr apresent quant funcion set respec salári descr quadr quadr trê colun nest ord set quant funcion salári real produç 75 funcion 200000 real salári administr 25 funcion 700000 real salári fim descr méd salári 100 funcion dess empr real,200000,250000,325000,450000,900000,Matemática
2023,vis atra client gerent loj anunci promoç cad client realiz compr pod ganh vouch us próx compr ganh vouch client precis retir acas bol dentr cad dua urn disponibil gerent qual apen bol pret branc atual probabilidade escolh acas bol pret urn igual 20 cent probabilidade escolh bol pret urn 25 cent ganh vouch client retir dua bol pret cad urn pass dia gerent perceb promoç vi negóci precis alter probabilidade acert client alter regr promoç resolv alter quant bol branc urn form probabilidade client ganh vouch pass men igual 1 cent sabes urn 4 bol pret ambas urn tod bol têm mesm probabilidade ser retir númer mín bol branc gerent dev adicion urn,20,60,64,68,80,Matemática
2023,dirig após inger beb alcoól atitud extrem perig vez part prim dos pesso começ ter perd sensibil mov reflex apes elimin absorç álcool depend cad pesso organ conseg metabol subst final prim hor após ingest concentr álcool sang correspond aproximad 90 cent quant álcool inger elimin total dess concentr pod demor 12 hor ness cond final prim hor após ingest quant álcool concentr dess subst sang express algebric,igual 09 vez,igual 01 vez,igual 1 menos 01 vez,igual 1 menos 09 vez,igual menos 10,Matemática
2023,invest inici observ gráf apresent evolução val dua criptomoed relaç temp descr gráf gráf cartesi relac val milh real dua criptomoed temp hor destac nov pont represent val dess criptomoed nov instant eix horizont represent val criptomoed eix vertic val criptomoed nov instant 9 hor 3 05 10 hor 2 2 11 hor 4 4 12 hor 55 3 13 hor 6 15 14 hor 35 2 15 hor 25 4 16 hor 1 5 17 hor 05 35 fim descr dur hor consecu val observ nov instant represent hor exat quant dess instant criptomoed valor criptomoed,3,4,6,7,9,Matemática
2023,expos algum nível sonor pod caus les audi indústr adot med preven acord máquin funcion oper nível intens som med decibel oper expost send igual log bas 10 elev 10 menos log bas 10 índic 0 elev 10 intens som índic 0 igual 10 elev menos 12 watt metr quadr som consider baix igual 48 decibel menos dev utiliz med preven 1 cas som moder interval 48 decibel 55 decibel dev utiliz med preven 2 som moder alt equival interval 55 decibel 80 decibel med preven us 3 interval 80 decibel 115 decibel som consider alt dev utiliz med preven 4 som consider alt mai 115 decibel deves utiliz med preven 5 nov máquin igual 8 vez 10 elev menos 8 watt metr quadr adquir classific acord nível ruíd produz consid 03 aproxim log bas 10 2 funcion oper nov máquin dev adot med preven,1,2,3,4,5,Matemática
2023,colégi públic admiss prim ano sortei nest ano 55 candidat cuj inscr numer 01 55 sortei cad númer inscr realiz etap utilizandos dua urn prim urn sorte bol dentr bol numer 0 9 represent algar unidad númer inscr sorte segu segund urn sorte bol represent algar dezen dess númer prim sortei ant sort algar dezen bol est pres segund urn apen cuj númer form algar sorte númer 01 55 probabil candidat inscr númer 50 02 ser sorte respectiv,cinquent avo sessent avo,cinquent avo cinquent avo,cinquent avo déc,cinquent cinc avo cinquent quatr avo,cent cent,Matemática
2023,esquem mostr intens lumin decresc aument profund rio send índic 0 intens superfíci descr esquem esquem apresent intens lumin acord profund metr rio 0 metr índic 0 1 metr doi terç índic 0 2 metr quatr non índic 0 3 metr oit vint set avo índic 0 fim descr consid intens lumin diminu cad metr acresc profund segund padr esquem intens lumin correspond profund 6 metr igual,non índic 0,fraç numer 16 denomin 27 vez índic 0,fraç numer 32 denomin 243 vez índic 0,fraç numer 64 denomin 729 vez índic 0,fraç numer 128 denomin 2187 vez índic 0,Matemática
2023,analis vend empr gerent conclu mont diári arrecad milh real pod calcul express igual abr parêntes quadr sobr 4 fech parêntes menos 10 vez 105 val represent dia mê vari 1 30 fat avali desempenh mens empr verific men mont diári índic 0 arrecad long mê classific desempenh conform categor apresent segu quant express milh real ótim índic 0 mai igual 24 bom 20 men igual índic 0 men 24 norm 10 men igual índic 0 men 20 ruim 4 men igual índic 0 men 10 péss índic 0 men 4 cas analis classific desempenh empr,ótim,bom,norm,ruim,péss,Matemática
